year,component,FlemingSorenson,Broeckel,PCI_hs02,PCI_hs07
2006,bearing,2.278,1.513652352,1.243777778,1.243777778
2006,blade,0.209681156,1.477282257,1.047,1.047
2006,control.system,0.377112346,1.393573185,0.652428571,0.652428571
2006,forgings,0,1.497541509,0.3068,0.3068
2006,gearbox,0.960287674,1.469584911,1.388,1.388
2006,generator,0.1125,1.710326465,0.1452,0.1452
2006,nacelle,0.830464552,1.566400659,0.832,0.832
2006,power.converter,0.418076145,1.376812745,0.0328,0.0328
2006,tower,0.333333333,1.524500706,-0.3175,-0.3175
2007,bearing,0.514492754,1.471799287,1.218333333,1.218333333
2007,blade,0.477832004,1.478352196,1.429,1.429
2007,control.system,0.827341993,1.393079107,0.837,0.837
2007,forgings,0.604334554,1.531036966,0.4566,0.4566
2007,gearbox,1.16579329,1.505159102,1.70475,1.70475
2007,generator,0.153709103,1.752968987,0.3258,0.3258
2007,nacelle,0.32980092,1.549357786,0.957,0.957
2007,power.converter,0.177322014,1.32923806,0.1228,0.1228
2007,tower,0.326388889,1.49925265,-0.202,-0.202
2008,bearing,0.403954802,1.461535614,1.007666667,0.986087
2008,blade,0.751613758,1.37814481,0.99,1.06239
2008,control.system,0.63448083,1.388435301,0.804571429,0.748012629
2008,forgings,0.192513369,1.570226264,0.2574,0.2848932
2008,gearbox,1.164044559,1.553829215,1.72975,1.468825
2008,generator,0.145454545,1.63547221,0.288,0.317943
2008,nacelle,0.552611843,1.524519157,1.047,0.706157
2008,power.converter,0.441133481,1.363222839,0.1612,0.11831529
2008,tower,0.55472327,1.477383311,-0.2135,-0.305931
2009,bearing,0.26506558,1.540402679,1.162444444,1.035666667
2009,blade,0.749658584,1.332710575,1.111,1.072
2009,control.system,0.832451253,1.41946546,0.788428571,0.634285714
2009,forgings,0.676421405,1.428420187,0.2736,0.1032
2009,gearbox,1.169554773,1.582471488,1.47175,1.363
2009,generator,0.76769522,1.556940205,0.131,0.1256
2009,nacelle,0.748096234,1.484227219,1.037,0.999
2009,power.converter,0.478756147,1.379307499,0.0635,0.0629
2009,tower,0.800827649,1.441794334,-0.381,-0.491
2010,bearing,0.394786977,1.567700318,1.108222222,1.081666667
2010,blade,0.838770597,1.410971861,1.037,1.008
2010,control.system,0.480457378,1.435907803,0.717857143,0.662857143
2010,forgings,0.498304094,1.48029543,0.2426,0.2278
2010,gearbox,0.852507669,1.65089227,1.643,1.50425
2010,generator,0.801503299,1.503263911,0.0388,0.1058
2010,nacelle,0.651000026,1.490458787,0.591,0.497
2010,power.converter,0.361060952,1.38049966,0.1307,0.1314
2010,tower,0.335249408,1.452628769,-0.308,-0.3985
2011,bearing,0.472482748,1.613039745,1.139222222,1.136444444
2011,blade,0.664811594,1.417615646,1.017,1.002
2011,control.system,0.68928268,1.467035524,0.587714286,0.607857143
2011,forgings,0.888410474,1.463730133,0.259,0.2872
2011,gearbox,0.622290758,1.632101036,1.512,1.44475
2011,generator,0.629457991,1.467723882,0.206,0.125
2011,nacelle,0.691413233,1.464150465,0.609,0.446
2011,power.converter,0.657989617,1.41153253,0.219,0.2514
2011,tower,0.550893801,1.454993082,-0.42,-0.431
2012,bearing,0.544125249,1.6516029,1.225222222,1.151333333
2012,blade,0.594348125,1.460587484,1.242,1.27
2012,control.system,0.764714555,1.467937017,0.779857143,0.609285714
2012,forgings,0.877501624,1.548073648,0.316,0.415
2012,gearbox,0.718344041,1.586775044,1.5335,1.46575
2012,generator,0.733442492,1.509216921,0.135,0.1142
2012,nacelle,0.711973166,1.49378555,0.567,0.507
2012,power.converter,0.360636478,1.414188229,0.2162,0.2122
2012,tower,0.292632822,1.46686084,-0.229,-0.146
2013,bearing,0.524716318,1.635923159,1.207444444,1.179111111
2013,blade,0.57270241,1.403439171,1.203,1.041
2013,control.system,0.402250273,1.459210006,0.645857143,0.631714286
2013,forgings,0.292689777,1.519828819,0.4266,0.4086
2013,gearbox,0.455044248,1.540071176,1.4065,1.30475
2013,generator,0.275320899,1.523408501,-0.0306,-0.0494
2013,nacelle,0.667585351,1.483090399,0.66,0.636
2013,power.converter,0.402750197,1.367517287,0.3115,0.3049
2013,tower,0.710688725,1.450124726,-0.121,-0.0805
2014,bearing,0.435000266,1.62075249,1.184333333,1.159666667
2014,blade,0.424384003,1.420616868,0.982,0.953
2014,control.system,0.508021582,1.417959679,0.575285714,0.580857143
2014,forgings,0.385304869,1.586627961,0.4716,0.4524
2014,gearbox,0.492333471,1.518086008,1.603,1.569
2014,generator,0.127761183,1.550176388,0.2418,0.2228
2014,nacelle,0.406749163,1.507681614,0.408,0.393
2014,power.converter,0.533706812,1.325869613,0.2196,0.2131
2014,tower,0.698671947,1.466587464,-0.116,-0.0485
2015,bearing,0.548821747,1.516491564,1.165888889,1.138
2015,blade,0.407870527,1.354755471,0.476,0.475
2015,control.system,0.458566063,1.384918134,0.452714286,0.472857143
2015,forgings,0.641637053,1.528078256,0.4268,0.4192
2015,gearbox,0.405949459,1.530280721,1.68325,1.66775
2015,generator,0.199029862,1.526731636,0.2846,0.2636
2015,nacelle,0.395663325,1.460507953,0.291,0.281
2015,power.converter,0.414769844,1.282109966,0.1731,0.1733
2015,tower,0.344132596,1.449548594,-0.2205,-0.2025
2016,bearing,0.512839782,1.474668861,1.154777778,1.155222222
2016,blade,0.50906712,1.36988195,0.548,0.581
2016,control.system,0.564705134,1.366692548,0.713142857,0.723142857
2016,forgings,0.86875,1.537631387,0.3554,0.3206
2016,gearbox,0.330674333,1.477256579,1.61325,1.60775
2016,generator,0.204985755,1.504860577,0.5368,0.5542
2016,nacelle,0.602147338,1.448858658,0.598,0.595
2016,power.converter,0.32243372,1.319614836,0.2541,0.2635
2016,tower,0.543638298,1.52086281,-0.106,-0.1185